repo_name,owner,repo_url,description,language,topics,stars,updated_at
onlyoneshakibul/magic-eraser-studio,onlyoneshakibul,https://github.com/onlyoneshakibul/magic-eraser-studio,Image inpainting and object eraser tool using deep learning models.,Python,"computer-vision, inpainting, deep-learning, image-editing",142,2026-08-17T18:30:00Z
aminekago-web/Paradigm-Survival-Arena,aminekago-web,https://github.com/aminekago-web/Paradigm-Survival-Arena,Multi-agent reinforcement learning simulation environment.,Python,"reinforcement-learning, ai-agents, multi-agent, simulation",67,2026-08-17T18:25:00Z
pravin6688/churn-triad-insights,pravin6688,https://github.com/pravin6688/churn-triad-insights,End-to-end customer churn prediction and retention analytics platform.,Jupyter Notebook,"machine-learning, data-science, classification, churn-prediction",54,2026-08-17T18:20:00Z
okesipoke/manuscript-phoneme-decipher,okesipoke,https://github.com/okesipoke/manuscript-phoneme-decipher,Phoneme deciphering and historical manuscript OCR pipeline.,Python,"ocr, computer-vision, deep-learning, phonetics",83,2026-08-17T18:15:00Z
VIAME/VIAME,VIAME,https://github.com/VIAME/VIAME,Do-it-yourself AI video and image analysis for ecology and general vision tasks.,C++,"computer-vision, object-detection, video-processing, ai",320,2026-08-17T18:10:00Z
reunios2024/cortex-sentinel-trading-nexus,reunios2024,https://github.com/reunios2024/cortex-sentinel-trading-nexus,Autonomous multi-agent financial market surveillance system.,Python,"ai-agents, autonomous, llm, financial-analysis",88,2026-08-17T18:05:00Z
apache/airflow,apache,https://github.com/apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",Python,"workflow, orchestration, pipeline, scheduler, data-engineering",36500,2026-08-17T18:00:00Z
Sujal-142/ai-image-clean-eraser,Sujal-142,https://github.com/Sujal-142/ai-image-clean-eraser,AI-powered image watermark and background cleanup engine.,Python,"computer-vision, image-processing, generative-ai",61,2026-08-17T17:55:00Z
EmilHvitfeldt/feature-engineering-az,EmilHvitfeldt,https://github.com/EmilHvitfeldt/feature-engineering-az,Comprehensive guide and code examples for feature engineering in ML.,R,"machine-learning, data-science, feature-engineering",410,2026-08-17T17:50:00Z
tensorflow/tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone.,C++,"deep-learning, machine-learning, neural-network, framework",185000,2026-08-17T17:45:00Z
